net,length_um
scan_chain.scan_cells\[66\].scan_cell.data_in,604.35µm
scan_chain.scan_cells\[67\].scan_cell.data_in,593.09µm
scan_chain.scan_cells\[70\].scan_cell.data_in,563.235µm
scan_chain.scan_cells\[68\].scan_cell.data_in,559.01µm
net22,541.29µm
scan_chain.scan_cells\[69\].scan_cell.data_in,537.825µm
scan_chain.scan_cells\[71\].scan_cell.data_in,532.88µm
net55,408.58µm
scan_chain.scan_cells\[10\].scan_cell.data_out,378.8µm
dout\[11\],370.23µm
clknet_0_ui_in[3],368.86µm
dout\[25\],367.91µm
clknet_0_ui_in[4],365.76µm
dout\[12\],361.215µm
scan_chain.scan_cells\[12\].scan_cell.data_out,357.02µm
dout\[23\],355.26µm
dout\[24\],354.88µm
dout\[22\],330.185µm
net36,328.68µm
scan_chain.scan_cells\[65\].scan_cell.data_in,307.88µm
dout\[26\],306.08µm
scan_chain.scan_cells\[64\].scan_cell.data_in,292.54µm
dout\[21\],289.86µm
ui_in[6],272.48µm
scan_chain.scan_cells\[63\].scan_cell.data_in,271.33µm
scan_chain.scan_cells\[61\].scan_cell.data_in,267.72µm
ui_in[5],263.51µm
scan_chain.scan_cells\[62\].scan_cell.data_in,259.48µm
scan_chain.scan_cells\[59\].scan_cell.data_in,256.53µm
scan_chain.scan_cells\[60\].scan_cell.data_in,253.47µm
scan_chain.scan_cells\[58\].scan_cell.data_in,228.195µm
dout\[27\],218.09µm
dout\[20\],217.34µm
scan_chain.scan_cells\[57\].scan_cell.data_in,215.57µm
scan_chain.scan_cells\[56\].scan_cell.data_in,211.44µm
net8,209.87µm
scan_chain.scan_cells\[55\].scan_cell.data_in,208.33µm
scan_chain.scan_cells\[54\].scan_cell.data_in,203.84µm
net20,203.1µm
scan_chain.scan_cells\[34\].scan_cell.data_in,197.74µm
scan_chain.scan_cells\[33\].scan_cell.data_in,196.42µm
net54,188.59µm
net35,184.24µm
_145_,175.42µm
uio_in[2],173.88µm
scan_chain.scan_cells\[53\].scan_cell.data_in,169.99µm
clknet_3_3__leaf_ui_in[3],168.1µm
uio_in[1],167.92µm
scan_chain.scan_cells\[32\].scan_cell.data_out,167.9µm
net3,167.84µm
uio_in[0],167.19µm
dout\[32\],164.51µm
scan_chain.scan_cells\[35\].scan_cell.data_in,163.28µm
net56,160.46µm
uio_in[3],157.61µm
dout\[30\],156.23µm
dout\[31\],156.2µm
scan_chain.scan_cells\[52\].scan_cell.data_in,154.08µm
net6,151.34µm
dout\[28\],150.96µm
ui_in[7],147.4µm
scan_chain.scan_cells\[50\].scan_cell.data_in,146.71µm
net19,146.52µm
net34,146.12µm
net5,142.86µm
scan_chain.scan_cells\[19\].scan_cell.data_out,141.34µm
dout\[29\],141.06µm
net7,140.195µm
clknet_3_6__leaf_ui_in[3],138.09µm
scan_chain.scan_cells\[49\].scan_cell.data_in,137.7µm
scan_chain.scan_cells\[51\].scan_cell.data_in,137.4µm
scan_chain.scan_cells\[36\].scan_cell.data_in,131.38µm
net25,129.68µm
clknet_3_5__leaf_ui_in[3],129.68µm
net9,127.46µm
net11,127.46µm
net53,126.56µm
scan_chain.scan_cells\[48\].scan_cell.data_in,126.42µm
net46,125.28µm
dout\[2\],124.41µm
clknet_3_2__leaf_ui_in[4],124.41µm
clknet_3_3__leaf_ui_in[4],124.3µm
net21,122.96µm
clknet_3_6__leaf_ui_in[4],122.21µm
dout\[1\],120.93µm
clknet_3_7__leaf_ui_in[3],119.955µm
clknet_3_2__leaf_ui_in[3],119.9µm
net30,119.41µm
net32,119.34µm
clknet_3_1__leaf_ui_in[4],119.3µm
net23,118.6µm
clknet_3_4__leaf_ui_in[3],117.54µm
clknet_3_7__leaf_ui_in[4],117.24µm
dout\[3\],116.35µm
net16,114.09µm
clknet_3_5__leaf_ui_in[4],113.48µm
net12,113.21µm
net28,112.64µm
clknet_3_4__leaf_ui_in[4],110.42µm
net41,110.32µm
net24,108.64µm
scan_chain.scan_cells\[37\].scan_cell.data_in,107.59µm
net18,106µm
dout\[0\],105.73µm
net10,105µm
net27,105µm
net26,104.18µm
dout\[4\],103.91µm
clknet_3_1__leaf_ui_in[3],103.205µm
net49,97.86µm
net17,97.5µm
net43,96.7µm
clknet_3_0__leaf_ui_in[3],96.34µm
scan_chain.scan_cells\[26\].scan_cell.data_out,94.9µm
ui_in[4],94.63µm
net13,92.4µm
net33,91.76µm
scan_chain.scan_cells\[38\].scan_cell.data_in,89.72µm
scan_chain.scan_cells\[47\].scan_cell.data_in,89.63µm
clknet_3_0__leaf_ui_in[4],89.48µm
scan_chain.scan_cells\[39\].scan_cell.data_in,88.64µm
net31,88.52µm
net45,86.8µm
ui_in[3],85.67µm
net40,85.59µm
scan_chain.scan_cells\[27\].scan_cell.data_out,85.56µm
dout\[16\],85.35µm
dout\[17\],84.31µm
net15,83.6µm
net47,81.775µm
dout\[8\],81.43µm
dout\[18\],81.19µm
dout\[5\],79.87µm
net42,79.26µm
scan_chain.scan_cells\[40\].scan_cell.data_in,79.16µm
dout\[6\],78.05µm
net44,77.87µm
net51,76.01µm
net37,74.41µm
dout\[19\],73.77µm
net50,72.87µm
net39,72.66µm
scan_chain.scan_cells\[46\].scan_cell.data_in,72.46µm
dout\[7\],69.9µm
dout\[15\],69.25µm
net52,68.54µm
net14,66.1µm
net29,62.16µm
scan_chain.scan_cells\[23\].scan_cell.data_out,57.02µm
scan_chain.scan_cells\[41\].scan_cell.data_in,56.94µm
scan_chain.scan_cells\[45\].scan_cell.data_in,54.28µm
dout\[14\],52.57µm
scan_chain.scan_cells\[25\].scan_cell.data_out,52.12µm
_225_,50.82µm
scan_chain.scan_cells\[4\].scan_cell.data_out,48.34µm
scan_chain.scan_cells\[22\].scan_cell.data_out,45.36µm
scan_chain.scan_cells\[42\].scan_cell.data_in,43.93µm
scan_chain.scan_cells\[18\].scan_cell.data_out,43.81µm
net38,42.94µm
dout\[13\],42.74µm
scan_chain.scan_cells\[43\].scan_cell.data_in,42.3µm
_199_,40.44µm
dout\[10\],40.285µm
net48,40.13µm
scan_chain.scan_cells\[44\].scan_cell.data_in,37.64µm
dout\[9\],37.52µm
scan_chain.scan_cells\[6\].scan_cell.data_out,35.8µm
scan_chain.scan_cells\[0\].scan_cell.data_out,35.54µm
scan_chain.scan_cells\[29\].scan_cell.data_out,34.4µm
scan_chain.scan_cells\[13\].scan_cell.data_out,33.76µm
scan_chain.scan_cells\[6\].scan_cell.primary_ff,32.96µm
scan_chain.scan_cells\[11\].scan_cell.data_out,32.92µm
scan_chain.scan_cells\[3\].scan_cell.primary_ff,31.58µm
scan_chain.scan_cells\[20\].scan_cell.primary_ff,31.5µm
scan_chain.scan_cells\[4\].scan_cell.primary_ff,31.36µm
