Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_701,VGND,li1,327.9800,220.3200,0.000000
FILLER_80_697,VGND,li1,324.0700,220.3200,0.000000
FILLER_80_685,VGND,li1,320.6200,220.3200,0.000000
FILLER_80_673,VGND,li1,315.1000,220.3200,0.000000
FILLER_80_669,VGND,li1,311.1900,220.3200,0.000000
FILLER_80_657,VGND,li1,307.7400,220.3200,0.000000
FILLER_80_645,VGND,li1,302.2200,220.3200,0.000000
FILLER_80_641,VGND,li1,298.3100,220.3200,0.000000
FILLER_80_629,VGND,li1,294.8600,220.3200,0.000000
FILLER_80_617,VGND,li1,289.3400,220.3200,0.000000
FILLER_80_613,VGND,li1,285.4300,220.3200,0.000000
FILLER_80_601,VGND,li1,281.9800,220.3200,0.000000
FILLER_80_589,VGND,li1,276.4600,220.3200,0.000000
FILLER_80_585,VGND,li1,272.5500,220.3200,0.000000
FILLER_80_573,VGND,li1,269.1000,220.3200,0.000000
FILLER_80_561,VGND,li1,263.5800,220.3200,0.000000
FILLER_80_557,VGND,li1,259.6700,220.3200,0.000000
FILLER_80_545,VGND,li1,256.2200,220.3200,0.000000
FILLER_80_533,VGND,li1,250.7000,220.3200,0.000000
FILLER_80_531,VGND,li1,247.2500,220.3200,0.000000
FILLER_80_523,VGND,li1,245.1800,220.3200,0.000000
FILLER_80_511,VGND,li1,240.5800,220.3200,0.000000
FILLER_80_483,VGND,li1,226.7800,220.3200,0.000000
FILLER_80_474,VGND,li1,221.2600,220.3200,0.000001
FILLER_80_427,VGND,li1,199.4100,220.3200,0.000001
FILLER_80_419,VGND,li1,195.7300,220.3200,0.000001
FILLER_80_410,VGND,li1,192.0500,220.3200,0.000001
FILLER_80_388,VGND,li1,182.1600,220.3200,0.000001
FILLER_80_373,VGND,li1,174.5700,220.3200,0.000001
FILLER_80_349,VGND,li1,164.6800,220.3200,0.000001
FILLER_80_287,VGND,li1,135.0100,220.3200,0.000001
FILLER_80_267,VGND,li1,125.8100,220.3200,0.000001
FILLER_80_253,VGND,li1,119.3700,220.3200,0.000001
FILLER_80_237,VGND,li1,112.0100,220.3200,0.000001
FILLER_80_225,VGND,li1,106.9500,220.3200,0.000001
FILLER_80_215,VGND,li1,101.8900,220.3200,0.000001
FILLER_80_169,VGND,li1,81.1900,220.3200,0.000001
FILLER_80_141,VGND,li1,67.8500,220.3200,0.000001
FILLER_80_100,VGND,li1,49.4500,220.3200,0.000000
FILLER_80_94,VGND,li1,46.6900,220.3200,0.000000
FILLER_80_88,VGND,li1,43.9300,220.3200,0.000000
FILLER_80_82,VGND,li1,40.9400,220.3200,0.000000
FILLER_80_76,VGND,li1,38.4100,220.3200,0.000000
FILLER_80_70,VGND,li1,35.6500,220.3200,0.000000
FILLER_80_64,VGND,li1,32.8900,220.3200,0.000000
FILLER_80_57,VGND,li1,29.9000,220.3200,0.000000
FILLER_80_53,VGND,li1,27.8300,220.3200,0.000000
FILLER_80_41,VGND,li1,24.3800,220.3200,0.000000
FILLER_80_29,VGND,li1,18.8600,220.3200,0.000000
FILLER_80_27,VGND,li1,15.4100,220.3200,0.000000
FILLER_80_15,VGND,li1,12.4200,220.3200,0.000000
FILLER_80_3,VGND,li1,6.9000,220.3200,0.000000
FILLER_79_709,VGND,li1,329.8200,220.3200,0.000000
FILLER_79_697,VGND,li1,326.1400,220.3200,0.000000
FILLER_79_685,VGND,li1,320.6200,220.3200,0.000000
FILLER_79_673,VGND,li1,315.1000,220.3200,0.000000
FILLER_79_671,VGND,li1,311.6500,220.3200,0.000000
FILLER_79_665,VGND,li1,310.0400,220.3200,0.000000
FILLER_79_653,VGND,li1,305.9000,220.3200,0.000000
FILLER_79_641,VGND,li1,300.3800,220.3200,0.000000
FILLER_79_629,VGND,li1,294.8600,220.3200,0.000000
FILLER_79_617,VGND,li1,289.3400,220.3200,0.000000
FILLER_79_614,VGND,li1,285.6600,220.3200,0.000000
FILLER_79_606,VGND,li1,283.3600,220.3200,0.000000
FILLER_79_594,VGND,li1,278.7600,220.3200,0.000000
FILLER_79_582,VGND,li1,273.2400,220.3200,0.000000
FILLER_79_575,VGND,li1,267.4900,220.3200,0.000000
FILLER_79_571,VGND,li1,266.3400,220.3200,0.000000
FILLER_79_558,VGND,li1,259.9000,220.3200,0.000000
FILLER_79_546,VGND,li1,256.6800,220.3200,0.000000
FILLER_79_534,VGND,li1,251.1600,220.3200,0.000000
FILLER_79_522,VGND,li1,245.6400,220.3200,0.000000
FILLER_79_483,VGND,li1,225.1700,220.3200,0.000000
FILLER_79_479,VGND,li1,224.0200,220.3200,0.000000
FILLER_79_447,VGND,li1,208.6100,220.3200,0.000001
FILLER_79_421,VGND,li1,196.8800,220.3200,0.000001
FILLER_79_382,VGND,li1,178.7100,220.3200,0.000001
FILLER_79_337,VGND,li1,158.0100,220.3200,0.000001
FILLER_79_334,VGND,li1,156.8600,220.3200,0.000001
FILLER_79_289,VGND,li1,136.1600,220.3200,0.000001
FILLER_79_275,VGND,li1,129.4900,220.3200,0.000001
FILLER_79_225,VGND,li1,106.4900,220.3200,0.000001
FILLER_79_191,VGND,li1,90.8500,220.3200,0.000001
FILLER_79_169,VGND,li1,80.7300,220.3200,0.000001
FILLER_79_113,VGND,li1,54.9700,220.3200,0.000000
FILLER_79_111,VGND,li1,54.0500,220.3200,0.000000
FILLER_79_105,VGND,li1,52.4400,220.3200,0.000000
FILLER_79_93,VGND,li1,48.3000,220.3200,0.000000
FILLER_79_81,VGND,li1,42.7800,220.3200,0.000000
FILLER_79_69,VGND,li1,37.2600,220.3200,0.000000
FILLER_79_57,VGND,li1,31.7400,220.3200,0.000000
FILLER_79_55,VGND,li1,28.2900,220.3200,0.000000
FILLER_79_51,VGND,li1,27.1400,220.3200,0.000000
FILLER_79_39,VGND,li1,23.4600,220.3200,0.000000
FILLER_79_27,VGND,li1,17.9400,220.3200,0.000000
FILLER_79_15,VGND,li1,12.4200,220.3200,0.000000
FILLER_79_3,VGND,li1,6.9000,220.3200,0.000000
FILLER_78_701,VGND,li1,327.9800,214.8800,0.000000
FILLER_78_699,VGND,li1,324.5300,214.8800,0.000000
FILLER_78_693,VGND,li1,322.9200,214.8800,0.000000
FILLER_78_681,VGND,li1,318.7800,214.8800,0.000000
FILLER_78_669,VGND,li1,313.2600,214.8800,0.000000
FILLER_78_657,VGND,li1,307.7400,214.8800,0.000000
FILLER_78_645,VGND,li1,302.2200,214.8800,0.000000
FILLER_78_643,VGND,li1,298.7700,214.8800,0.000000
FILLER_78_637,VGND,li1,297.1600,214.8800,0.000000
FILLER_78_625,VGND,li1,293.0200,214.8800,0.000000
FILLER_78_613,VGND,li1,287.5000,214.8800,0.000000
FILLER_78_601,VGND,li1,281.9800,214.8800,0.000000
FILLER_78_589,VGND,li1,276.4600,214.8800,0.000000
FILLER_78_584,VGND,li1,272.3200,214.8800,0.000000
FILLER_78_541,VGND,li1,252.3100,214.8800,0.000000
FILLER_78_533,VGND,li1,249.7800,214.8800,0.000000
FILLER_78_526,VGND,li1,246.1000,214.8800,0.000000
FILLER_78_483,VGND,li1,225.1700,214.8800,0.000000
FILLER_78_477,VGND,li1,223.5600,214.8800,0.000000
FILLER_78_446,VGND,li1,208.1500,214.8800,0.000001
FILLER_78_425,VGND,li1,198.9500,214.8800,0.000001
FILLER_78_418,VGND,li1,195.5000,214.8800,0.000001
FILLER_78_383,VGND,li1,180.3200,214.8800,0.000001
FILLER_78_363,VGND,li1,169.9700,214.8800,0.000001
FILLER_78_330,VGND,li1,155.2500,214.8800,0.000001
