Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_701,VPWR,li1,327.9800,223.0400,1.800000
FILLER_80_697,VPWR,li1,324.0700,223.0400,1.800000
FILLER_80_685,VPWR,li1,320.6200,223.0400,1.800000
FILLER_80_673,VPWR,li1,315.1000,223.0400,1.800000
FILLER_80_669,VPWR,li1,311.1900,223.0400,1.800000
FILLER_80_657,VPWR,li1,307.7400,223.0400,1.800000
FILLER_80_645,VPWR,li1,302.2200,223.0400,1.800000
FILLER_80_641,VPWR,li1,298.3100,223.0400,1.800000
FILLER_80_629,VPWR,li1,294.8600,223.0400,1.800000
FILLER_80_617,VPWR,li1,289.3400,223.0400,1.800000
FILLER_80_613,VPWR,li1,285.4300,223.0400,1.800000
FILLER_80_601,VPWR,li1,281.9800,223.0400,1.800000
FILLER_80_589,VPWR,li1,276.4600,223.0400,1.800000
FILLER_80_585,VPWR,li1,272.5500,223.0400,1.800000
FILLER_80_573,VPWR,li1,269.1000,223.0400,1.800000
FILLER_80_561,VPWR,li1,263.5800,223.0400,1.800000
FILLER_80_557,VPWR,li1,259.6700,223.0400,1.800000
FILLER_80_545,VPWR,li1,256.2200,223.0400,1.800000
FILLER_80_533,VPWR,li1,250.7000,223.0400,1.800000
FILLER_80_531,VPWR,li1,247.2500,223.0400,1.800000
FILLER_80_519,VPWR,li1,244.2600,223.0400,1.800000
FILLER_80_489,VPWR,li1,229.0800,223.0400,1.800000
FILLER_80_477,VPWR,li1,224.9400,223.0400,1.800000
FILLER_80_475,VPWR,li1,221.4900,223.0400,1.800000
FILLER_80_445,VPWR,li1,208.1500,223.0400,1.800000
FILLER_80_418,VPWR,li1,195.5000,223.0400,1.800000
FILLER_80_393,VPWR,li1,184.0000,223.0400,1.800000
FILLER_80_391,VPWR,li1,182.8500,223.0400,1.800000
FILLER_80_385,VPWR,li1,181.2400,223.0400,1.800000
FILLER_80_365,VPWR,li1,171.3500,223.0400,1.800000
FILLER_80_361,VPWR,li1,169.5100,223.0400,1.800000
FILLER_80_349,VPWR,li1,163.9900,223.0400,1.800000
FILLER_80_337,VPWR,li1,160.5400,223.0400,1.800000
FILLER_80_335,VPWR,li1,157.0900,223.0400,1.800000
FILLER_80_279,VPWR,li1,131.3300,223.0400,1.800000
FILLER_80_257,VPWR,li1,121.2100,223.0400,1.800000
FILLER_80_251,VPWR,li1,118.4500,223.0400,1.800000
FILLER_80_240,VPWR,li1,113.8500,223.0400,1.800000
FILLER_80_214,VPWR,li1,101.6600,223.0400,1.800000
FILLER_80_169,VPWR,li1,80.7300,223.0400,1.800000
FILLER_80_161,VPWR,li1,77.0500,223.0400,1.800000
FILLER_80_136,VPWR,li1,66.2400,223.0400,1.800000
FILLER_80_106,VPWR,li1,52.2100,223.0400,1.800000
FILLER_80_100,VPWR,li1,49.4500,223.0400,1.800000
FILLER_80_94,VPWR,li1,46.6900,223.0400,1.800000
FILLER_80_88,VPWR,li1,43.9300,223.0400,1.800000
FILLER_80_82,VPWR,li1,40.9400,223.0400,1.800000
FILLER_80_76,VPWR,li1,38.4100,223.0400,1.800000
FILLER_80_70,VPWR,li1,35.6500,223.0400,1.800000
FILLER_80_64,VPWR,li1,32.8900,223.0400,1.800000
FILLER_80_57,VPWR,li1,29.9000,223.0400,1.800000
FILLER_80_53,VPWR,li1,27.8300,223.0400,1.800000
FILLER_80_41,VPWR,li1,24.3800,223.0400,1.800000
FILLER_80_29,VPWR,li1,18.8600,223.0400,1.800000
FILLER_80_27,VPWR,li1,15.4100,223.0400,1.800000
FILLER_80_15,VPWR,li1,12.4200,223.0400,1.800000
FILLER_80_3,VPWR,li1,6.9000,223.0400,1.800000
FILLER_79_709,VPWR,li1,329.8200,217.6000,1.800000
FILLER_79_697,VPWR,li1,326.1400,217.6000,1.800000
FILLER_79_685,VPWR,li1,320.6200,217.6000,1.800000
FILLER_79_673,VPWR,li1,315.1000,217.6000,1.800000
FILLER_79_671,VPWR,li1,311.6500,217.6000,1.800000
FILLER_79_665,VPWR,li1,310.0400,217.6000,1.800000
FILLER_79_653,VPWR,li1,305.9000,217.6000,1.800000
FILLER_79_641,VPWR,li1,300.3800,217.6000,1.800000
FILLER_79_629,VPWR,li1,294.8600,217.6000,1.800000
FILLER_79_617,VPWR,li1,289.3400,217.6000,1.800000
FILLER_79_615,VPWR,li1,285.8900,217.6000,1.800000
FILLER_79_609,VPWR,li1,284.2800,217.6000,1.800000
FILLER_79_597,VPWR,li1,280.1400,217.6000,1.800000
FILLER_79_585,VPWR,li1,274.6200,217.6000,1.800000
FILLER_79_573,VPWR,li1,269.1000,217.6000,1.800000
FILLER_79_561,VPWR,li1,263.5800,217.6000,1.800000
FILLER_79_554,VPWR,li1,258.9800,217.6000,1.800000
FILLER_79_542,VPWR,li1,254.8400,217.6000,1.800000
FILLER_79_530,VPWR,li1,249.3200,217.6000,1.800000
FILLER_79_520,VPWR,li1,242.4200,217.6000,1.800000
FILLER_79_483,VPWR,li1,225.1700,217.6000,1.799999
FILLER_79_479,VPWR,li1,224.0200,217.6000,1.799999
FILLER_79_449,VPWR,li1,209.7600,217.6000,1.799999
FILLER_79_446,VPWR,li1,208.3800,217.6000,1.799999
FILLER_79_389,VPWR,li1,182.3900,217.6000,1.799999
FILLER_79_341,VPWR,li1,160.0800,217.6000,1.799999
FILLER_79_251,VPWR,li1,118.4500,217.6000,1.799999
FILLER_79_222,VPWR,li1,105.3400,217.6000,1.799999
FILLER_79_184,VPWR,li1,87.6300,217.6000,1.799999
FILLER_79_163,VPWR,li1,77.9700,217.6000,1.799999
FILLER_79_129,VPWR,li1,62.5600,217.6000,1.799999
FILLER_79_118,VPWR,li1,57.5000,217.6000,1.799999
FILLER_79_113,VPWR,li1,55.2000,217.6000,1.799999
FILLER_79_111,VPWR,li1,54.0500,217.6000,1.799999
FILLER_79_105,VPWR,li1,52.4400,217.6000,1.799999
FILLER_79_93,VPWR,li1,48.3000,217.6000,1.799999
FILLER_79_81,VPWR,li1,42.7800,217.6000,1.799999
FILLER_79_69,VPWR,li1,37.2600,217.6000,1.800000
FILLER_79_57,VPWR,li1,31.7400,217.6000,1.800000
FILLER_79_55,VPWR,li1,28.2900,217.6000,1.800000
FILLER_79_51,VPWR,li1,27.1400,217.6000,1.800000
FILLER_79_39,VPWR,li1,23.4600,217.6000,1.800000
FILLER_79_27,VPWR,li1,17.9400,217.6000,1.800000
FILLER_79_15,VPWR,li1,12.4200,217.6000,1.800000
FILLER_79_3,VPWR,li1,6.9000,217.6000,1.800000
FILLER_78_701,VPWR,li1,327.9800,217.6000,1.800000
FILLER_78_699,VPWR,li1,324.5300,217.6000,1.800000
FILLER_78_693,VPWR,li1,322.9200,217.6000,1.800000
FILLER_78_681,VPWR,li1,318.7800,217.6000,1.800000
FILLER_78_669,VPWR,li1,313.2600,217.6000,1.800000
FILLER_78_657,VPWR,li1,307.7400,217.6000,1.800000
FILLER_78_645,VPWR,li1,302.2200,217.6000,1.800000
FILLER_78_643,VPWR,li1,298.7700,217.6000,1.800000
FILLER_78_637,VPWR,li1,297.1600,217.6000,1.800000
FILLER_78_625,VPWR,li1,293.0200,217.6000,1.800000
FILLER_78_613,VPWR,li1,287.5000,217.6000,1.800000
FILLER_78_601,VPWR,li1,281.9800,217.6000,1.800000
FILLER_78_589,VPWR,li1,276.4600,217.6000,1.800000
